Disease,Symptoms,Prevention,Treatment
Hepatitis C,"Fatigue, Jaundice, Nausea, Muscle pain","Avoid sharing needles, Screening blood, Safe sex",Antiviral therapy
HIV/AIDS,"Weight loss, Fever, Night sweats, Fatigue, Infections","Safe sex, Avoid sharing needles, Antiretroviral PrEP",Antiretroviral therapy (ART)
Typhoid,"High fever, Weakness, Abdominal pain, Constipation/diarrhea","Safe drinking water, Proper sanitation, Vaccination","Antibiotics, Hydration, Rest"
Urinary Tract Infection (UTI),"Burning sensation during urination, Frequent urge to urinate, Cloudy urine","Good hygiene, Stay hydrated, Urinate after intercourse","Antibiotics, Fluids"
Allergies,"Sneezing, Itchy eyes, Rashes, Swelling, Runny nose","Avoid allergens, Use air purifiers, Wear protective gear","Antihistamines, Steroids, Allergy shots"
Migraine,"Severe headache, Nausea, Sensitivity to light/sound, Aura","Avoid triggers, Manage stress, Regular sleep","Pain relievers, Triptans, Preventive medications"
Anemia,"Fatigue, Pale skin, Shortness of breath, Dizziness","Iron-rich diet, Treat underlying causes","Iron supplements, Folic acid, B12 injections"
Gastritis,"Stomach pain, Nausea, Bloating, Vomiting","Avoid spicy foods, Limit alcohol, Avoid NSAIDs","Antacids, Proton pump inhibitors, Antibiotics (if H. pylori)"
Arthritis,"Joint pain, Swelling, Stiffness, Decreased mobility","Exercise, Maintain healthy weight, Avoid joint injuries","Pain relievers, Anti-inflammatory drugs, Physical therapy"
Skin Fungal Infection,"Redness, Itching, Flaky skin, Rash","Keep skin dry, Avoid shared towels/clothes, Wear breathable fabrics","Antifungal creams, Oral antifungals"
Conjunctivitis,"Red eyes, Itching, Discharge, Watery eyes","Avoid touching eyes, Wash hands frequently, Don’t share personal items","Antibiotic eye drops, Cool compress, Artificial tears"
Depression,"Persistent sadness, Loss of interest, Fatigue, Sleep issues, Hopelessness","Mental health awareness, Early intervention, Healthy coping mechanisms","Therapy, Antidepressant medications, Lifestyle changes"
Appendicitis,"Lower right abdominal pain, Nausea, Vomiting, Fever","No known guaranteed prevention, Healthy diet may reduce risk","Surgical removal of appendix, Antibiotics"
Bronchitis,"Persistent cough, Mucus production, Fatigue, Shortness of breath","Avoid smoking, Stay away from irritants, Get flu vaccine","Cough medicine, Rest, Hydration"
Sinusitis,"Facial pain, Nasal congestion, Headache, Postnasal drip","Avoid colds, Use humidifiers, Manage allergies","Decongestants, Nasal sprays, Antibiotics (if bacterial)"
Otitis Media (Ear Infection),"Ear pain, Hearing difficulty, Fever, Irritability","Avoid smoke exposure, Vaccinate, Breastfeeding","Pain relievers, Antibiotics, Warm compress"
Gastroenteritis,"Diarrhea, Vomiting, Abdominal cramps, Fever","Hand hygiene, Clean food and water, Vaccination (rotavirus)","Hydration, Rest, Antiemetics"
Cholera,"Watery diarrhea, Dehydration, Vomiting, Muscle cramps","Clean water, Sanitation, Vaccination","Oral rehydration salts, IV fluids, Antibiotics"
Whooping Cough (Pertussis),"Severe coughing fits, Whooping sound, Vomiting after cough","DTaP vaccine, Avoid infected individuals","Antibiotics, Supportive care"
Tetanus,"Muscle stiffness, Jaw cramping, Difficulty swallowing, Seizures","Tetanus vaccine, Proper wound care","Tetanus immune globulin, Muscle relaxants, Antibiotics"
Rabies,"Fever, Hydrophobia, Anxiety, Confusion, Paralysis","Rabies vaccine, Avoid animal bites, Pet vaccination","Post-exposure prophylaxis, Supportive care"
Scabies,"Intense itching, Rash, Sores, Burrows in skin","Avoid direct skin contact, Wash bedding/clothing in hot water","Topical scabicides, Oral ivermectin"
Ringworm,"Red circular rash, Itching, Flaky skin","Good hygiene, Avoid shared personal items","Antifungal creams, Oral antifungals"
Psoriasis,"Scaly red patches, Dry skin, Itching, Joint pain (psoriatic arthritis)","Manage stress, Avoid triggers, Moisturize","Topical treatments, Phototherapy, Immunosuppressants"
Eczema (Atopic Dermatitis),"Dry itchy skin, Red rashes, Cracked skin","Moisturize regularly, Avoid allergens, Gentle skin care","Topical corticosteroids, Moisturizers, Antihistamines"
Cervical Cancer,"Abnormal vaginal bleeding, Pelvic pain, Pain during intercourse","HPV vaccination, Regular Pap tests, Safe sex","Surgery, Radiation, Chemotherapy"
Prostate Cancer,"Urinary problems, Pelvic pain, Blood in urine, Erectile dysfunction","Healthy diet, Screening (PSA tests)","Surgery, Radiation, Hormone therapy"
Glaucoma,"Vision loss, Eye pain, Blurred vision, Halos around lights","Regular eye exams, Manage eye pressure","Eye drops, Laser treatment, Surgery"
Cataracts,"Cloudy vision, Sensitivity to light, Poor night vision","Wear sunglasses, No smoking, Regular eye exams",Cataract surgery
Epilepsy,"Seizures, Loss of consciousness, Confusion","Prevent head injuries, Prenatal care","Antiepileptic drugs, Surgery (in some cases)"
